start_time,c,h,l,o,t
1705294800000,0.01,0.01,0.01,0.01,1705294800
1705298400000,0.01,0.01,0.01,0.01,1705298400
1705302000000,0.01,0.01,0.01,0.01,1705302000
1705305600000,0.01,0.01,0.01,0.01,1705305600
1705309200000,0.01,0.01,0.01,0.01,1705309200
1705312800000,0.01,0.01,0.01,0.01,1705312800
1705316400000,0.01,0.01,0.01,0.01,1705316400
1705320000000,0.01,0.01,0.01,0.01,1705320000
1705323600000,0.01,0.01,0.01,0.01,1705323600
1705327200000,0.01,0.01,0.01,0.01,1705327200
1705330800000,0.01,0.01,0.01,0.01,1705330800
1705334400000,0.01,0.01,0.01,0.01,1705334400
1705338000000,0.01,0.01,0.01,0.01,1705338000
1705341600000,0.01,0.01,0.01,0.01,1705341600
1705345200000,0.01,0.01,0.01,0.01,1705345200
1705348800000,0.01,0.01,0.01,0.01,1705348800
1705352400000,0.01,0.01,0.01,0.01,1705352400
1705356000000,0.01,0.01,0.01,0.01,1705356000
1705359600000,0.01,0.01,0.01,0.01,1705359600
1705363200000,0.01,0.01,0.01,0.01,1705363200
1705366800000,0.01,0.01,0.01,0.01,1705366800
1705370400000,0.01,0.01,0.01,0.01,1705370400
1705374000000,0.01,0.01,0.01,0.01,1705374000
1705377600000,0.01,0.01,0.01,0.01,1705377600
1705381200000,0.01,0.01,0.01,0.01,1705381200
1705384800000,0.01,0.01,0.01,0.01,1705384800
1705388400000,0.01,0.01,0.01,0.01,1705388400
1705392000000,0.01,0.01,0.01,0.01,1705392000
1705395600000,0.01,0.01,0.01,0.01,1705395600
1705399200000,0.01,0.01,0.01,0.01,1705399200
1705402800000,0.01,0.01,0.01,0.01,1705402800
1705406400000,0.01,0.01,0.01,0.01,1705406400
1705410000000,0.01,0.01,0.01,0.01,1705410000
1705413600000,0.01,0.01,0.01,0.01,1705413600
1705417200000,0.01,0.01,0.01,0.01,1705417200
1705420800000,0.01,0.01,0.01,0.01,1705420800
1705424400000,0.01,0.01,0.01,0.01,1705424400
1705428000000,0.01,0.01,0.01,0.01,1705428000
1705431600000,0.01,0.01,0.01,0.01,1705431600
1705435200000,0.01,0.01,0.01,0.01,1705435200
1705438800000,0.01,0.01,0.01,0.01,1705438800
1705442400000,0.01,0.01,0.01,0.01,1705442400
1705446000000,0.01,0.01,0.01,0.01,1705446000
1705449600000,0.01,0.01,0.01,0.01,1705449600
1705453200000,0.01,0.01,0.01,0.01,1705453200
1705456800000,0.01,0.01,0.01,0.01,1705456800
1705460400000,0.01,0.01,0.01,0.01,1705460400
1705464000000,0.01,0.01,0.01,0.01,1705464000
1705467600000,0.01,0.01,0.01,0.01,1705467600
1705471200000,0.01,0.01,0.01,0.01,1705471200
1705474800000,0.01,0.01,0.01,0.01,1705474800
1705478400000,0.01,0.01,0.01,0.01,1705478400
1705482000000,0.01,0.01,0.01,0.01,1705482000
1705485600000,0.01,0.01,0.01,0.01,1705485600
1705489200000,0.01,0.01,0.01,0.01,1705489200
1705492800000,0.01,0.01,0.01,0.01,1705492800
1705496400000,0.01,0.01,0.01,0.01,1705496400
1705500000000,0.01,0.01,0.01,0.01,1705500000
1705503600000,0.01,0.01,0.01,0.01,1705503600
1705507200000,0.01,0.01,0.01,0.01,1705507200
1705510800000,0.01,0.01,0.01,0.01,1705510800
1705514400000,0.01,0.01,0.01,0.01,1705514400
1705518000000,0.01,0.01,0.01,0.01,1705518000
1705521600000,0.01,0.01,0.01,0.01,1705521600
1705525200000,0.01,0.01,0.01,0.01,1705525200
1705528800000,0.01,0.01,0.01,0.01,1705528800
1705532400000,0.01,0.01,0.01,0.01,1705532400
1705536000000,0.01,0.01,0.01,0.01,1705536000
1705539600000,0.01,0.01,0.01,0.01,1705539600
1705543200000,0.01,0.01,0.01,0.01,1705543200
1705546800000,0.01,0.01,0.01,0.01,1705546800
1705550400000,0.01,0.01,0.01,0.01,1705550400
1705554000000,0.01,0.01,0.01,0.01,1705554000
1705557600000,0.01,0.01,0.01,0.01,1705557600
1705561200000,0.01,0.01,0.01,0.01,1705561200
1705564800000,0.01,0.01,0.01,0.01,1705564800
1705568400000,0.01,0.01,0.01,0.01,1705568400
1705572000000,0.01,0.01,0.01,0.01,1705572000
1705575600000,0.01,0.01,0.01,0.01,1705575600
1705579200000,0.01,0.01,0.01,0.01,1705579200
1705582800000,0.01,0.01,0.01,0.01,1705582800
