start_time,buy,sell,time
1706094000000,5286.637,5901.219,1706094000
1706097600000,5100.298,5875.547,1706097600
1706101200000,5650.643,5898.467,1706101200
1706104800000,13851.018,13274.927,1706104800
1706108400000,6622.201,5857.801,1706108400
1706112000000,5308.597,4585.065,1706112000
1706115600000,4320.628,3990.405,1706115600
1706119200000,8907.948,9953.072,1706119200
1706122800000,3232.101,2991.675,1706122800
1706126400000,7335.937,7570.943,1706126400
1706130000000,3951.276,3748.505,1706130000
1706133600000,2033.008,2177.537,1706133600
1706137200000,5340.75,5050.505,1706137200
1706140800000,2853.128,3491.476,1706140800
1706144400000,2939.255,3680.157,1706144400
1706148000000,1757.949,1869.738,1706148000
1706151600000,1924.527,1524.695,1706151600
1706155200000,1362.197,1544.611,1706155200
1706158800000,3222.879,3324.976,1706158800
1706162400000,3463.015,2785.38,1706162400
1706166000000,3069.935,2325.356,1706166000
1706169600000,3410.511,3879.585,1706169600
1706173200000,1938.931,2326.435,1706173200
1706176800000,3578.577,3439.293,1706176800
1706180400000,8634.223,6814.088,1706180400
1706184000000,7663.603,8621.22,1706184000
1706187600000,6896.723,7317.826,1706187600
1706191200000,5731.059,6017.544,1706191200
1706194800000,7410.252,8210.876,1706194800
1706198400000,4383.278,4700.345,1706198400
1706202000000,6323.083,6312.687,1706202000
1706205600000,9541.102,9422.793,1706205600
1706209200000,4090.246,3451.01,1706209200
1706212800000,4920.697,4627.623,1706212800
1706216400000,3259.045,3330.161,1706216400
1706220000000,1864.531,1337.802,1706220000
1706223600000,1482.68,1651.576,1706223600
1706227200000,1247.039,1865.467,1706227200
1706230800000,2007.03,1893.136,1706230800
1706234400000,8317.728,5614.236,1706234400
1706238000000,1584.39,2163.887,1706238000
1706241600000,2311.664,2044.714,1706241600
1706245200000,1481.704,1787.527,1706245200
1706248800000,2275.223,2820.133,1706248800
1706252400000,3808.419,3217.404,1706252400
1706256000000,4257.093,4069.6,1706256000
1706259600000,9182.29,8699.243,1706259600
1706263200000,17623.808,13663.26,1706263200
1706266800000,24763.321,20773.379,1706266800
1706270400000,16498.032,16054.921,1706270400
1706274000000,7356.32,8030.615,1706274000
1706277600000,11116.01,7432.785,1706277600
1706281200000,9120.03,10585.152,1706281200
1706284800000,18394.432,17415.375,1706284800
1706288400000,8117.311,8921.12,1706288400
1706292000000,11319.548,10022.897,1706292000
1706295600000,5026.026,6073.048,1706295600
1706299200000,9315.999,9292.77,1706299200
1706302800000,2815.838,2851.401,1706302800
1706306400000,3294.71,4031.957,1706306400
1706310000000,2173.897,2686.589,1706310000
1706313600000,2733.925,3657.133,1706313600
1706317200000,2605.056,1973.14,1706317200
1706320800000,1173.584,1179.458,1706320800
1706324400000,1710.955,1470.999,1706324400
1706328000000,1168.06,1245.144,1706328000
1706331600000,1670.032,2118.323,1706331600
1706335200000,1933.017,2208.453,1706335200
1706338800000,3572.661,3496.694,1706338800
1706342400000,5739.955,7431.509,1706342400
1706346000000,5128.793,4748.13,1706346000
1706349600000,2901.152,3268.629,1706349600
1706353200000,1325.368,1575.292,1706353200
1706356800000,1467.444,1562.035,1706356800
1706360400000,1296.814,1343.481,1706360400
1706364000000,1960.529,1970.509,1706364000
1706367600000,2958.83,2495.045,1706367600
1706371200000,1720.209,2186.18,1706371200
1706374800000,1192.465,1105.365,1706374800
1706378400000,1199.572,1238.426,1706378400
1706382000000,4480.273,3285.292,1706382000
1706385600000,2927.348,2480.895,1706385600
1706389200000,3175.869,2683.408,1706389200
1706392800000,2476.225,2795.638,1706392800
1706396400000,1841.263,2558.537,1706396400
1706400000000,2457.531,3845.029,1706400000
1706403600000,5277.867,4342.37,1706403600
1706407200000,1591.413,1397.659,1706407200
1706410800000,1807.341,1515.027,1706410800
1706414400000,14620.972,10171.952,1706414400
1706418000000,8622.183,9694.208,1706418000
1706421600000,4005.838,5398.835,1706421600
1706425200000,2662.699,3376.159,1706425200
1706428800000,4964.173,4310.529,1706428800
1706432400000,4949.557,4416.289,1706432400
1706436000000,2490.044,2671.207,1706436000
1706439600000,3140.515,3960.484,1706439600
1706443200000,4156.963,4636.868,1706443200
1706446800000,3074.612,3327.651,1706446800
1706450400000,3221.043,3638.656,1706450400
