start_time,open_interest,high open interest,low open interest,open value of open interest,funding_rate,high funding rate,low funding rate,open funding rate,long_short_ratio,longShortRatio,shortAccount,active_address,exchange_inflow_x,exchange_outflow_x,price_x,transaction_count_x,active_addresses,exchange_inflow_y,exchange_outflow_y,price_y,transaction_count_y
1707210000000.0,80714.91,80744.75,80290.42,80433.46,0.01,0.01,0.009364,0.009364,61.39,1.59,38.61,704,0.15958379,5.11658771,42991.55,640,46350,0.8345445478442545,1.13031461693816,42974.6714339541,11862
1707210000000.0,80600.63,80909.48,80436.06,80714.91,0.01,0.01,0.01,0.01,60.31,1.52,39.69,704,0.15958379,5.11658771,42991.55,640,46350,0.8345445478442545,1.13031461693816,42974.6714339541,11862
1707300000000.0,78962.44,79243.05,78762.29,79120.1,0.008406,0.008406,0.006431,0.006431,58.39,1.4,41.61,6714,1.10885362,10.3912545,42897.94,628,51441,0.5460498041503086,1.5961840345047371,42950.64649638656,22362
1707300000000.0,79173.27,79301.51,78962.44,78962.44,0.008484,0.008941,0.008383,0.008406,57.88,1.37,42.12,6714,1.10885362,10.3912545,42897.94,628,51441,0.5460498041503086,1.5961840345047371,42950.64649638656,22362
1707300000000.0,79503.84,79506.72,79173.27,79173.27,0.008974,0.008974,0.008484,0.008484,58.67,1.42,41.33,6714,1.10885362,10.3912545,42897.94,628,51441,0.5460498041503086,1.5961840345047371,42950.64649638656,22362
1707390000000.0,85039.16,85062.87,84482.34,84485.72,0.006436,0.006737,0.006297,0.006514,47.8,0.92,52.2,2401,0.35588176,16.41454832,44698.97,776,45854,2.518715323023348,4.308122923759855,44704.80090856781,13627
1707390000000.0,85527.39,85534.24,84901.49,85039.16,0.004437,0.006436,0.004437,0.006436,47.86,0.92,52.14,2401,0.35588176,16.41454832,44698.97,776,45854,2.518715323023348,4.308122923759855,44704.80090856781,13627
1707390000000.0,85434.6,85602.53,85433.98,85527.39,0.003366,0.004437,0.00321,0.004437,47.32,0.9,52.68,2401,0.35588176,16.41454832,44698.97,776,45854,2.518715323023348,4.308122923759855,44704.80090856781,13627
1707480000000.0,85429.67,85678.08,85101.39,85614.27,0.00674,0.007065,0.006115,0.00693,45.28,0.83,54.72,1454,0.24152106,17.44941943,47323.99,727,40328,1.0454540998544906,1.1877734770669746,47337.8505871044,10471
1707480000000.0,84118.7,85518.62,83826.16,85429.67,0.008768,0.00878,0.00674,0.00674,45.69,0.84,54.31,1454,0.24152106,17.44941943,47323.99,727,40328,1.0454540998544906,1.1877734770669746,47337.8505871044,10471
1707480000000.0,84611.23,84934.17,84118.7,84118.7,0.009235,0.009321,0.008483,0.008768,45.35,0.83,54.65,1454,0.24152106,17.44941943,47323.99,727,40328,1.0454540998544906,1.1877734770669746,47337.8505871044,10471
1707570000000.0,85642.54,85673.54,85464.04,85588.17,0.01,0.01,0.01,0.01,41.79,0.72,58.21,1018,0.25873875,9.1528833,47303.59,669,48656,0.7003650964431487,1.166445908894264,47332.9199021296,19473
1707570000000.0,86616.46,86616.46,85642.54,85642.54,0.01,0.01,0.01,0.01,41.72,0.72,58.28,1018,0.25873875,9.1528833,47303.59,669,48656,0.7003650964431487,1.166445908894264,47332.9199021296,19473
1707570000000.0,86590.53,86717.76,86558.53,86616.46,0.01,0.01,0.01,0.01,41.75,0.72,58.25,1018,0.25873875,9.1528833,47303.59,669,48656,0.7003650964431487,1.166445908894264,47332.9199021296,19473
1707660000000.0,89583.52,89816.94,89415.75,89456.7,0.01,0.01,0.01,0.01,40.42,0.68,59.58,498,0.03775957,14.93970238,48234.56,437,24028,0.7444208063777779,0.5608439577134373,48238.61051315509,6495
1707660000000.0,89782.04,89782.35,89388.1,89583.52,0.01,0.01,0.01,0.01,40.61,0.68,59.39,498,0.03775957,14.93970238,48234.56,437,24028,0.7444208063777779,0.5608439577134373,48238.61051315509,6495
